Epoch,Train Loss,Test Loss
0,25.441975579261793,24.56560027599334
1,18.587418518066393,18.186966915130633
2,14.609150929450978,14.172622227668775
3,11.957516562938693,11.540806968212134
4,10.433560664653774,9.667840032577507
5,8.524212626218793,8.287085340023038
6,7.396867594718937,7.110159537792202
7,6.448679120540614,6.113555729389187
8,5.962347779273986,5.384087588787081
9,4.8167648869752835,4.692728992700576
10,4.327291376590729,4.103289709687234
11,3.831057108640673,3.698864611983298
12,3.7688945308327653,3.49238996267319
13,3.19531901270151,3.057955966591835
14,2.9399124348163586,2.7942300355434377
15,2.779323594570162,2.6870548918843267
16,2.9487264987826323,2.751355856955052
17,2.449966992735863,2.3808511444926257
18,2.3873391890525832,2.2772481286525705
19,2.2718060818314534,2.3010142904520023
20,2.451325304210184,2.404977282285691
21,2.1115695402026176,2.093947866559027
22,2.0235309153795256,2.142157176434994
23,1.9308028686046588,2.180721404403448
24,2.234075941592456,2.2022522813081733
25,1.85182797446847,2.0289834775030613
26,1.7755100651085371,2.035361325591801
27,1.7394610099494463,1.888011532872915
28,2.0073022273182883,2.063403570204973
29,1.6155471147596827,1.970688811987639
